,match_id,game_time,winner,feature_1,feature_2,feature_3,feature_4
0,3712282967.0,20.68360000000007,-1.0,31.697367216351275,0.0,0.0,5500.0
1,3712282967.0,41.34522000000004,-1.0,63.1800836071492,0.0,0.0,5500.0
2,3712282967.0,62.00684999999999,1.0,78.33790221950633,0.0,0.0,5500.0
3,3712282967.0,82.66845,1.0,79.83575545719188,0.0,0.0,5500.0
4,3712282967.0,103.33008000000008,1.0,110.1367486629729,0.0,0.0,5500.0
5,3712282967.0,123.99170000000004,1.0,86.59990675316332,7.0711998958999285,0.0,5500.0
6,3712282967.0,144.65335000000005,1.0,46.71252221393217,116.31014749330046,0.0,5500.0
7,3712282967.0,165.3149500000001,1.0,-64.41362814722443,149.16762376145343,0.0,5615.0
8,3712282967.0,185.9765500000001,1.0,-238.87869251078016,-158.1899586186889,0.0,5615.0
9,3712282967.0,206.63819000000007,1.0,-25.23371218720564,-85.49251180252045,0.0,5615.0
10,3712282967.0,227.29981,1.0,-124.8982071382859,130.3465160306823,0.0,5730.0
11,3712282967.0,247.96145,1.0,37.937422747477214,-40.772661900706275,0.0,5730.0
12,3712282967.0,268.62305000000003,1.0,273.9084143456073,-92.14080015679001,0.0,5730.0
13,3712282967.0,289.28464999999994,1.0,331.18181115536566,-113.67236606968876,0.0,5845.0
14,3712282967.0,309.94625000000013,1.0,602.2597661889138,140.90026440668154,0.0,5845.0
15,3712282967.0,330.60795,1.0,755.3898223431705,239.94101978175235,0.0,5960.0
16,3712282967.0,351.26954999999987,1.0,989.5115643724887,296.67277535562414,0.0,5960.0
17,3712282967.0,371.93115,1.0,1238.2225449249722,344.03154602125636,1.0,5960.0
18,3712282967.0,392.59275000000014,1.0,1621.6737428987415,747.177852336848,0.0,6075.0
19,3712282967.0,413.25435,1.0,1824.082916863696,1205.939549192298,1.0,6075.0
20,3712282967.0,433.9160499999999,1.0,1822.0321857058047,1237.6087313974674,0.0,6075.0
21,3712282967.0,454.57765000000006,1.0,1822.8381015330447,1128.4147891321018,0.0,6190.0
22,3712282967.0,475.23925,1.0,2124.1648205916827,1303.4446034604111,0.0,6190.0
23,3712282967.0,495.90085000000016,1.0,2643.440477037925,1884.976177791001,0.0,6190.0
24,3712282967.0,516.56255,1.0,3050.9532623037403,2212.8783609343213,0.0,6305.0
94,3712338559.0,16.58459999999991,-1.0,-50.0,0.0,0.0,5500.0
95,3712338559.0,37.246240000000064,-1.0,-50.0,0.0,0.0,5500.0
96,3712338559.0,57.90783999999997,0.0,-122.09459059582883,0.0,0.0,5500.0
97,3712338559.0,78.56943999999999,0.0,-129.21880627690177,0.0,0.0,5500.0
98,3712338559.0,99.23108000000002,0.0,-92.09280248988884,0.0,0.0,5500.0
99,3712338559.0,119.8927,0.0,-54.159499972678816,0.0,0.0,5500.0
100,3712338559.0,140.55434000000002,0.0,-131.77915705455695,-58.81215038697032,0.0,5500.0
101,3712338559.0,161.21594000000005,0.0,-140.80942585661668,-191.239492836502,0.0,5615.0
102,3712338559.0,181.87753999999995,0.0,-250.09696967482319,-176.46541823072246,0.0,5615.0
103,3712338559.0,202.53919,0.0,-349.20897634324774,-303.8556324481028,0.0,5615.0
104,3712338559.0,223.20084,0.0,-216.08425690219082,-108.41850082947269,0.0,5730.0
105,3712338559.0,243.82910999999996,0.0,82.82426268722439,50.64767390048439,0.0,5730.0
106,3712338559.0,264.4907400000001,0.0,279.6011765801785,137.16383085735478,0.0,5730.0
107,3712338559.0,285.15234,0.0,191.36869310977642,50.99610591201809,0.0,5845.0
108,3712338559.0,305.8139399999999,0.0,-141.27328449490525,-27.59547595550348,0.0,5845.0
109,3712338559.0,326.47554,0.0,-240.1673385012009,63.452340510290774,0.0,5845.0
110,3712338559.0,347.13723999999985,0.0,-246.1360144939378,231.309668120658,0.0,5960.0
111,3712338559.0,367.79884,0.0,-68.08675093936952,442.7485970340829,0.0,5960.0
112,3712338559.0,388.46044,0.0,17.108174205842005,419.9154149179173,0.0,5960.0
113,3712338559.0,409.12204000000014,0.0,129.63474552251623,503.86273881214186,0.0,6075.0
114,3712338559.0,429.78374,0.0,324.8938283638811,689.4086514466337,0.0,6075.0
115,3712338559.0,450.44534000000016,0.0,304.22052995033187,520.4778959156653,0.0,6190.0
116,3712338559.0,471.10694000000007,0.0,430.1749886119623,386.23705548515693,0.0,6190.0
117,3712338559.0,491.7685399999999,0.0,731.5754148476863,758.6856788026399,0.0,6190.0
118,3712338559.0,512.43014,0.0,388.4161920128236,623.0838870461794,0.0,6305.0
301,3712487457.0,6.220450000000027,-1.0,44.41836869499897,0.0,0.0,5500.0
302,3712487457.0,26.882069999999885,-1.0,-242.3396708429512,0.0,0.0,5500.0
303,3712487457.0,47.54369999999993,-1.0,-438.49140616732103,0.0,0.0,5500.0
304,3712487457.0,68.20529999999997,0.0,-118.0758009047048,28.033556153089062,1.0,5500.0
305,3712487457.0,88.86693000000002,0.0,64.03142629637479,53.236433097455894,0.0,5500.0
306,3712487457.0,109.52855,0.0,51.84370131694851,55.72691159115973,0.0,5500.0
307,3712487457.0,130.1902,0.0,51.31478980012296,75.3681220822819,0.0,5500.0
308,3712487457.0,150.85180000000003,0.0,11.933261531449537,63.50936711079618,0.0,5615.0
309,3712487457.0,171.5133999999999,0.0,52.490875167367314,136.13006871023913,0.0,5615.0
310,3712487457.0,192.17500000000007,0.0,64.04062601011739,77.21413832787002,0.0,5615.0
311,3712487457.0,212.83669999999995,0.0,362.3917110010374,144.0735584868136,1.0,5730.0
312,3712487457.0,233.49830000000009,0.0,777.5958154374132,289.2647351228924,0.0,5730.0
313,3712487457.0,254.1599,0.0,881.9424933028845,330.34178815552883,0.0,5730.0
314,3712487457.0,274.8214999999999,0.0,686.3907793011301,275.5540172061808,0.0,5845.0
315,3712487457.0,295.4831000000001,0.0,375.90469964535515,-14.591789393543033,-1.0,catch me if you can
316,3712487457.0,316.1447999999998,0.0,518.1457501073353,-358.97557189781975,0.0,5845.0
317,3712487457.0,336.80640000000005,0.0,599.4684919531949,-103.54725763337179,0.0,5960.0
318,3712487457.0,357.468,0.0,767.2670166534017,98.71132696571668,0.0,5960.0
319,3712487457.0,378.12959999999987,0.0,620.9352971958543,122.33627208107114,0.0,5960.0
320,3712487457.0,398.7913,0.0,949.1815457005383,412.2489433198687,0.0,6075.0
321,3712487457.0,419.45289999999983,0.0,1094.911911270646,446.0165768211392,0.0,6075.0
322,3712487457.0,440.1145,0.0,1191.7445432245345,436.9677813784524,1.0,6075.0
323,3712487457.0,460.7427999999999,0.0,1266.6097412335448,271.2323875512867,-1.0,6190.0
324,3712487457.0,481.4044,0.0,798.3592210509863,-162.68487092402142,1.0,6190.0
325,3712487457.0,502.0659999999999,0.0,939.9601157620821,105.85050793920489,0.0,6190.0
326,3712487457.0,522.7276,0.0,1168.1295668217724,558.3129759455394,0.0,6305.0
327,3712487457.0,543.3892999999998,0.0,1053.144866449902,369.88156668601886,0.0,6305.0
328,3712487457.0,564.0509000000002,0.0,308.26799297871713,-89.49643593610479,0.0,6305.0
329,3712487457.0,584.7125,0.0,222.36080598045933,-197.409060828845,0.0,6420.0
330,3712487457.0,605.3740999999999,0.0,117.46943138394896,-303.3015114061197,0.0,6420.0
331,3712487457.0,626.0358,0.0,299.72398105278467,-605.5847326339804,0.0,6420.0
332,3712487457.0,646.6973999999999,0.0,601.0614644614997,-552.8472375564318,0.0,6535.0
333,3712487457.0,667.3589999999998,0.0,693.3479665105615,-345.5684902775293,0.0,6535.0
334,3712487457.0,688.0206,0.0,585.5621627337277,-411.45592099480507,0.0,6535.0
335,3712487457.0,708.6822000000003,0.0,159.07650260005616,-862.0431011690483,-1.0,6650.0
397,3712573013.0,18.617449999999963,-1.0,44.851816008541746,0.0,0.0,5500.0
398,3712573013.0,39.279099999999964,-1.0,67.51493203345728,0.0,0.0,5500.0
399,3712573013.0,59.94069999999999,0.0,-2.340159091737853,0.0,0.0,5500.0
400,3712573013.0,80.60230000000001,0.0,-9.24307277061713,0.0,0.0,5500.0
401,3712573013.0,101.26394000000003,0.0,-122.039367089298,0.0,0.0,5500.0
402,3712573013.0,121.9255599999999,0.0,-122.51611167332608,41.05727182548265,0.0,5500.0
403,3712573013.0,142.58720000000002,0.0,-149.06955484919942,148.69637900002238,0.0,5500.0
404,3712573013.0,163.24879999999996,0.0,-26.62986585927209,178.24975833213765,0.0,5615.0
405,3712573013.0,183.9104,0.0,5.704704828098697,2.5620029178383312,0.0,5615.0
406,3712573013.0,204.57204,0.0,-112.00535921523424,120.99299411595644,0.0,5615.0
407,3712573013.0,225.23366,0.0,-151.3880633411772,285.7641396293521,0.0,5730.0
408,3712573013.0,245.8953,0.0,-64.82995921584941,356.6931945481832,0.0,5730.0
409,3712573013.0,266.55690000000004,0.0,-161.039404565575,440.08198401341394,0.0,5730.0
410,3712573013.0,287.21850000000006,0.0,-29.008529619434267,356.82898061276046,0.0,5845.0
411,3712573013.0,307.88015,0.0,23.651560248978196,397.47851655947534,0.0,5845.0
412,3712573013.0,328.54180000000014,0.0,257.98365051295013,707.1400491248722,0.0,5845.0
413,3712573013.0,349.2034,0.0,453.9876677355291,997.128842802601,0.0,5960.0
414,3712573013.0,369.86499999999984,0.0,355.5057702414386,947.2298855880446,0.0,5960.0
415,3712573013.0,390.5266,0.0,389.00030192220464,904.0021470241916,-1.0,6075.0
416,3712573013.0,411.1882999999999,0.0,308.91155171306013,675.1139558656773,0.0,6075.0
417,3712573013.0,431.84990000000016,0.0,229.90772853473172,430.2517137687012,0.0,6075.0
418,3712573013.0,452.5115,0.0,285.40559649073435,360.8374773653479,0.0,6190.0
419,3712573013.0,473.17310000000015,0.0,333.38679092203927,622.3834621926197,0.0,6190.0
420,3712573013.0,493.8347,0.0,-52.130512017054464,726.9161492266472,-1.0,6190.0
421,3712573013.0,514.4964000000001,0.0,-76.13743037759465,949.3047046451378,0.0,6305.0
422,3712573013.0,535.158,0.0,-66.35033436042733,977.2522669443567,0.0,6305.0
515,3712656854.0,20.68360000000007,-1.0,6.529199999999918,0.0,0.0,5500.0
516,3712656854.0,41.345230000000136,-1.0,135.82261096452268,0.0,0.0,5500.0
517,3712656854.0,62.00684999999999,0.0,21.110299263526333,0.0,0.0,5500.0
518,3712656854.0,82.6685,0.0,-318.1518739569032,-44.91923096207621,0.0,5500.0
519,3712656854.0,103.33010000000002,0.0,-440.1695201206806,-54.90502480302688,0.0,5500.0
520,3712656854.0,123.99170000000004,0.0,-366.21132021519236,-54.28754190393776,0.0,5500.0
521,3712656854.0,144.6533400000001,0.0,-416.2940453695909,49.8944270790462,0.0,5500.0
522,3712656854.0,165.31496000000004,0.0,-429.0985187299317,162.3333126489154,0.0,5615.0
523,3712656854.0,185.97660000000008,0.0,-529.9494708070408,-51.11437380976186,1.0,5615.0
524,3712656854.0,206.6382,0.0,-729.3441466157236,-351.75354780459844,0.0,5615.0
525,3712656854.0,227.2998000000001,0.0,-1080.1112103791418,-764.2465500408467,0.0,5730.0
526,3712656854.0,247.9615,0.0,-1166.0397281140224,-829.3560375211822,-1.0,5730.0
527,3712656854.0,268.62310000000014,0.0,-1114.9186547600314,-657.7163492885528,0.0,5730.0
528,3712656854.0,289.2847000000001,0.0,-1109.3682200545916,-617.2585288250551,0.0,5845.0
529,3712656854.0,309.94629999999995,0.0,-1207.1728701618526,-662.3654035809518,1.0,5845.0
530,3712656854.0,330.6079000000001,0.0,-1300.296565914762,-635.025178931471,0.0,5960.0
531,3712656854.0,351.2695,0.0,-1539.1642600341613,-970.6941162932702,-1.0,5960.0
532,3712656854.0,371.93120000000016,0.0,-1940.6447336719018,-1442.2829239539992,-1.0,5960.0
533,3712656854.0,392.5928,0.0,-2230.8019648401582,-1918.7181422791434,0.0,6075.0
534,3712656854.0,413.25440000000015,0.0,-2327.247162012357,-1973.795051299928,1.0,6075.0
535,3712656854.0,433.91600000000005,0.0,-2152.1890651794565,-1770.3784982648413,0.0,6075.0
536,3712656854.0,454.5777,0.0,-2031.9036350471185,-1527.201477296788,0.0,6190.0
537,3712656854.0,475.23930000000007,0.0,-2140.542009826585,-1522.23474778099,0.0,6190.0
538,3712656854.0,495.9009,0.0,-2496.089329708211,-1811.0893360058649,-1.0,6190.0
539,3712656854.0,516.5624999999999,0.0,-2620.012056973887,-1952.1512285261895,0.0,6305.0
540,3712656854.0,537.2241,0.0,-2488.734585208018,-1819.0268080446087,1.0,6305.0
541,3712656854.0,557.8858000000001,0.0,-2520.161619546174,-1869.074107685468,0.0,6305.0
616,3712778240.0,8.286650000000009,-1.0,59.64353669599984,0.0,0.0,5500.0
617,3712778240.0,28.948250000000034,-1.0,111.57304579532227,0.0,0.0,5500.0
618,3712778240.0,49.60984999999993,-1.0,110.15544463779713,0.0,0.0,5500.0
619,3712778240.0,70.27148999999997,1.0,337.4902206501783,37.71068888171988,0.0,5500.0
620,3712778240.0,90.93310999999994,1.0,398.3288612600711,53.291515772993755,0.0,5500.0
621,3712778240.0,111.59474999999998,1.0,325.0041235735318,54.83117251024282,0.0,5500.0
622,3712778240.0,132.25635,1.0,320.2122157803292,61.85628220145527,0.0,5500.0
623,3712778240.0,152.91795000000005,1.0,265.45382669117765,52.684670048175676,0.0,5615.0
624,3712778240.0,173.57959000000002,1.0,187.08264468760385,-26.877700706976825,0.0,5615.0
625,3712778240.0,194.24121999999988,1.0,87.40292098993513,-252.9996277885273,0.0,5615.0
626,3712778240.0,214.9028500000001,1.0,28.683605448433198,-471.37344581409445,0.0,5730.0
627,3712778240.0,235.56445,1.0,319.1076877570054,-356.12675845922666,0.0,5730.0
628,3712778240.0,256.22605,1.0,402.27421126917386,-254.31153486213373,0.0,5730.0
629,3712778240.0,276.88765,1.0,445.64125478451757,-161.83130219285368,0.0,5845.0
630,3712778240.0,297.5493499999999,1.0,514.5802976337146,-8.101468274789134,0.0,5845.0
631,3712778240.0,318.17765,1.0,696.2981559046922,71.82179410568102,0.0,5845.0
632,3712778240.0,338.8392499999999,1.0,768.1055949871537,-171.76525562115518,0.0,5960.0
633,3712778240.0,359.50085,1.0,725.4187180315198,-415.2004935337,0.0,5960.0
634,3712778240.0,380.1624499999999,1.0,686.0305072242853,-262.9121851930396,0.0,5960.0
635,3712778240.0,400.82415,1.0,969.2237558218862,5.471335073712151,0.0,6075.0
636,3712778240.0,421.48575,1.0,1175.6123669215135,-89.4423168544165,0.0,6075.0
637,3712778240.0,442.1473500000001,1.0,640.7426529507866,-580.1314732299709,0.0,6075.0
638,3712778240.0,462.80895,1.0,689.8984775901681,-420.44672973147965,0.0,6190.0
639,3712778240.0,483.47054999999983,1.0,687.1595998061047,-608.8305520540517,0.0,6190.0
640,3712778240.0,504.1321499999999,1.0,761.1677098636146,-643.4740891255261,0.0,6190.0
